bmc_sample_code,sample,run_code
D18-218171-lane3,a10_D06_lane3,lane3
D18-218171-lane4,a10_D06_lane4,lane4
D18-218171-lane5,a10_D06_lane5,lane5
D18-218171-lane6,a10_D06_lane6,lane6
D18-218172-lane3,c02_D06_lane3,lane3
D18-218172-lane4,c02_D06_lane4,lane4
D18-218172-lane5,c02_D06_lane5,lane5
D18-218172-lane6,c02_D06_lane6,lane6
D18-218173-lane3,a04_D07_lane3,lane3
D18-218173-lane4,a04_D07_lane4,lane4
D18-218173-lane5,a04_D07_lane5,lane5
D18-218173-lane6,a04_D07_lane6,lane6
D18-218174-lane3,b06_D07_lane3,lane3
D18-218174-lane4,b06_D07_lane4,lane4
D18-218174-lane5,b06_D07_lane5,lane5
D18-218174-lane6,b06_D07_lane6,lane6
D18-218175-lane3,c08_D07_lane3,lane3
D18-218175-lane4,c08_D07_lane4,lane4
D18-218175-lane5,c08_D07_lane5,lane5
D18-218175-lane6,c08_D07_lane6,lane6
D18-218176-lane3,a10_D08_lane3,lane3
D18-218176-lane4,a10_D08_lane4,lane4
D18-218176-lane5,a10_D08_lane5,lane5
D18-218176-lane6,a10_D08_lane6,lane6
D18-218177-lane3,b07_D05_lane3,lane3
D18-218177-lane4,b07_D05_lane4,lane4
D18-218177-lane5,b07_D05_lane5,lane5
D18-218177-lane6,b07_D05_lane6,lane6
D18-218178-lane3,c09_D05_lane3,lane3
D18-218178-lane4,c09_D05_lane4,lane4
D18-218178-lane5,c09_D05_lane5,lane5
D18-218178-lane6,c09_D05_lane6,lane6
D18-218179-lane3,b01_D06_lane3,lane3
D18-218179-lane4,b01_D06_lane4,lane4
D18-218179-lane5,b01_D06_lane5,lane5
D18-218179-lane6,b01_D06_lane6,lane6
D18-218180-lane3,c03_D06_lane3,lane3
D18-218180-lane4,c03_D06_lane4,lane4
D18-218180-lane5,c03_D06_lane5,lane5
D18-218180-lane6,c03_D06_lane6,lane6
D18-218181-lane3,a05_D07_lane3,lane3
D18-218181-lane4,a05_D07_lane4,lane4
D18-218181-lane5,a05_D07_lane5,lane5
D18-218181-lane6,a05_D07_lane6,lane6
D18-218182-lane3,b07_D07_lane3,lane3
D18-218182-lane4,b07_D07_lane4,lane4
D18-218182-lane5,b07_D07_lane5,lane5
D18-218182-lane6,b07_D07_lane6,lane6
D18-218183-lane3,c09_D07_lane3,lane3
D18-218183-lane4,c09_D07_lane4,lane4
D18-218183-lane5,c09_D07_lane5,lane5
D18-218183-lane6,c09_D07_lane6,lane6
D18-218184-lane3,b01_D08_lane3,lane3
D18-218184-lane4,b01_D08_lane4,lane4
D18-218184-lane5,b01_D08_lane5,lane5
D18-218184-lane6,b01_D08_lane6,lane6
D18-218185-lane3,b08_D05_lane3,lane3
D18-218185-lane4,b08_D05_lane4,lane4
D18-218185-lane5,b08_D05_lane5,lane5
D18-218185-lane6,b08_D05_lane6,lane6
D18-218186-lane3,c10_D05_lane3,lane3
